id,employee_id,client_id,pay_date,No_of_hours_worked,overtime_hours,Increment
1,1,1,2023-07-01,160,10,2000
2,2,2,2023-07-02,150,8,1500
3,3,3,2023-07-03,170,12,2500
4,4,4,2023-07-04,140,6,1000
5,5,5,2023-07-05,130,5,900
6,6,6,2023-07-06,160,9,1800
7,7,7,2023-07-07,150,7,1600
8,8,8,2023-07-08,160,11,2100
9,9,9,2023-07-09,150,8,1700
10,10,10,2023-07-10,140,6,1300
11,11,11,2023-07-11,130,5,900
12,12,12,2023-07-12,160,9,1800
13,13,13,2023-07-13,150,7,1600
14,14,14,2023-07-14,160,11,2100
15,15,15,2023-07-15,150,8,1700
16,16,16,2023-07-16,140,6,1300
17,17,17,2023-07-17,130,5,900
18,18,18,2023-07-18,160,9,1800
19,19,19,2023-07-19,150,7,1600
22,20,20,2023-07-20,160,11,2100
